standing,player_name,region,deck_code,deck_url
1,ゆう,群馬県,UySpMp-liahAC-yy3p3R,https://www.pokemon-card.com/deck/confirm.html/deckID/UySpMp-liahAC-yy3p3R
2,たなぼた,北海道,n96gL6-9NpI2r-HNNgnL,https://www.pokemon-card.com/deck/confirm.html/deckID/n96gL6-9NpI2r-HNNgnL
3,ルカリオ,東京都,UyMyMM-9g5Jzk-RMERyp,https://www.pokemon-card.com/deck/confirm.html/deckID/UyMyMM-9g5Jzk-RMERyp
3,いぶき,岡山県,kVvwFb-Al80fZ-V5Fkkk,https://www.pokemon-card.com/deck/confirm.html/deckID/kVvwFb-Al80fZ-V5Fkkk
5,とおる,滋賀県,kkk5VV-agSDcT-b1VkkF,https://www.pokemon-card.com/deck/confirm.html/deckID/kkk5VV-agSDcT-b1VkkF
5,レイタ,埼玉県,L69nng-o0mFW8-n9gLng,https://www.pokemon-card.com/deck/confirm.html/deckID/L69nng-o0mFW8-n9gLng
5,あつし,大阪府,nNgLnL-F511eV-99nLnn,https://www.pokemon-card.com/deck/confirm.html/deckID/nNgLnL-F511eV-99nLnn
5,ヨウタ,愛知県,MMXpXy-U9okSn-UyRypy,https://www.pokemon-card.com/deck/confirm.html/deckID/MMXpXy-U9okSn-UyRypy
9,まひぞう,愛知県,NgnNLg-0dZcau-nnnP9Q,https://www.pokemon-card.com/deck/confirm.html/deckID/NgnNLg-0dZcau-nnnP9Q
9,ツキミヌス,大阪府,xc48JG-juxNbu-88Y8c8,https://www.pokemon-card.com/deck/confirm.html/deckID/xc48JG-juxNbu-88Y8c8
9,れお,東京都,MMMMyy-QTwJ4N-Mp3Ryy,https://www.pokemon-card.com/deck/confirm.html/deckID/MMMMyy-QTwJ4N-Mp3Ryy
9,タロ,奈良県,kk5VFk-66dbTi-VVFvbd,https://www.pokemon-card.com/deck/confirm.html/deckID/kk5VFk-66dbTi-VVFvbd
9,ひゅうが,長崎県,UR3RMX-kmPy4o-pMSy2y,https://www.pokemon-card.com/deck/confirm.html/deckID/UR3RMX-kmPy4o-pMSy2y
9,さや,大阪府,kVkkkb-9xY6uz-kdFvkk,https://www.pokemon-card.com/deck/confirm.html/deckID/kVkkkb-9xY6uz-kdFvkk
9,こうき,東京都,LgnnQ9-aDnPB6-ngnLgg,https://www.pokemon-card.com/deck/confirm.html/deckID/LgnnQ9-aDnPB6-ngnLgg
9,れん,福岡県,k15kVv-3XIMTk-VFbVkV,https://www.pokemon-card.com/deck/confirm.html/deckID/k15kVv-3XIMTk-VFbVkV
